date,close,volume,open,high,low
28-02-2019,173.15,27953810,174.32,174.91,172.92
27-02-2019,174.87,27817640,173.21,175,172.73
26-02-2019,174.33,16991610,173.71,175.3,173.1732
25-02-2019,174.23,21846400,174.16,175.87,173.95
22-02-2019,172.97,18890250,171.58,173,171.38
21-02-2019,171.06,17154540,171.8,172.37,170.3
20-02-2019,172.03,25323890,171.19,173.32,170.99
19-02-2019,170.93,18958570,169.71,171.44,169.49
15-02-2019,170.42,24603320,171.25,171.7,169.75
14-02-2019,170.8,21785180,169.71,171.2615,169.38
13-02-2019,170.18,22389660,171.39,172.48,169.92
12-02-2019,170.89,22224400,170.1,171,169.7
11-02-2019,169.43,20940020,171.05,171.21,169.25
08-02-2019,170.41,23793830,168.99,170.66,168.42
07-02-2019,170.94,31644240,172.4,173.94,170.34
06-02-2019,174.24,28204640,174.65,175.57,172.8531
05-02-2019,174.18,36054570,172.86,175.08,172.3501
04-02-2019,171.25,31384720,167.41,171.655,167.28
01-02-2019,166.52,32644590,166.96,168.98,165.93
31-01-2019,166.44,40613260,166.11,169,164.56
30-01-2019,165.25,60800480,163.25,166.15,160.23
29-01-2019,154.68,39914850,156.25,158.13,154.11
28-01-2019,156.3,26147280,155.79,156.33,153.66
25-01-2019,157.76,33508960,155.48,158.13,154.32
24-01-2019,152.7,25418110,154.11,154.48,151.74
23-01-2019,153.92,23046560,154.15,155.14,151.7
22-01-2019,153.3,30273990,156.41,156.73,152.62
18-01-2019,156.82,33259460,157.5,157.88,155.9806
17-01-2019,155.86,29616190,154.2,157.66,153.26
16-01-2019,154.94,30483120,153.08,155.88,153
15-01-2019,153.07,28449940,150.27,153.39,150.05
14-01-2019,150,32018540,150.85,151.27,149.22
11-01-2019,152.29,26924630,152.88,153.7,151.51
10-01-2019,153.8,35661200,152.5,153.97,150.86
09-01-2019,153.31,45034370,151.29,154.53,149.63
08-01-2019,150.75,40622910,149.56,151.82,148.52
07-01-2019,147.93,54571440,148.7,148.83,145.9
04-01-2019,148.26,57423650,144.53,148.5499,143.8
03-01-2019,142.19,91106840,143.98,145.72,142
02-01-2019,157.92,35637070,154.89,158.85,154.23
31-12-2018,157.74,34499390,158.53,159.36,156.48
28-12-2018,156.23,41740600,157.5,158.52,154.55
27-12-2018,156.15,51608850,155.84,156.77,150.07
26-12-2018,157.17,58133850,148.3,157.23,146.72
24-12-2018,146.83,37169230,148.15,151.55,146.59
21-12-2018,150.73,95497900,156.86,158.16,149.63
20-12-2018,156.83,64398230,160.4,162.11,155.3
19-12-2018,160.89,47597670,166,167.45,159.09
